time,open,high,low,close,volume,ticker
2024-09-10,66180,66790,65720,66250,3332400,VNM
2024-09-11,66180,66440,65379,65980,3165200,VNM
2024-09-12,66350,66520,65810,66080,2052100,VNM
2024-09-13,66180,66180,64480,64480,5347100,VNM
2024-09-16,64580,64580,63600,63600,4034700,VNM
2024-09-17,63690,64920,63420,64920,2390300,VNM
2024-09-18,65120,65379,64580,64849,2845300,VNM
2024-09-19,64750,65019,64580,64849,1572700,VNM
2024-09-20,65019,65450,64310,64310,5232400,VNM
2024-09-23,64660,64750,64230,64480,2930300,VNM
2024-09-24,64989,64989,64170,64349,2076500,VNM
2024-09-25,64349,64440,63710,63710,4520500,VNM
2024-09-26,63710,65090,63710,64709,3984100,VNM
2024-09-27,64810,65170,64709,64989,2968700,VNM
2024-09-30,64989,64989,64170,64170,2043500,VNM
2024-10-01,64260,64709,64170,64170,2040200,VNM
2024-10-02,64260,64260,63710,64170,2139900,VNM
2024-10-03,64260,64530,63990,64349,2948000,VNM
2024-10-04,64530,64530,62610,62710,6134000,VNM
2024-10-07,62890,63430,61420,61420,5986300,VNM
2024-10-08,61510,62430,61510,62430,2887600,VNM
2024-10-09,62520,62790,62060,62060,3527900,VNM
2024-10-10,62520,62990,61960,61960,2622600,VNM
2024-10-11,62340,62430,61790,61960,2370000,VNM
2024-10-14,62340,62340,61420,61510,2820500,VNM
2024-10-15,61510,61700,61060,61140,3073300,VNM
2024-10-16,61140,62340,61140,61790,2003900,VNM
2024-10-17,61890,62150,61610,61890,1655000,VNM
2024-10-18,61890,62240,61700,61700,1597500,VNM
2024-10-21,61700,62150,61510,61610,1860000,VNM
2024-10-22,61610,62060,61510,61610,2250400,VNM
2024-10-23,61610,61890,61510,61610,1635900,VNM
2024-10-24,61610,63160,61610,62610,4365000,VNM
2024-10-25,62790,62790,62150,62240,2170200,VNM
2024-10-28,61960,62240,61060,61510,2923300,VNM
2024-10-29,61610,61610,61140,61330,2030600,VNM
2024-10-30,61330,61610,60690,60690,3431700,VNM
2024-10-31,60960,60960,59770,60510,5170700,VNM
2024-11-01,60510,60690,60040,60230,2178000,VNM
2024-11-04,60320,60960,60040,60040,2118800,VNM
2024-11-05,60140,60420,59960,59960,1060900,VNM
2024-11-06,60420,60420,59770,60230,2594600,VNM
2024-11-07,60420,60600,60040,60320,1152300,VNM
2024-11-08,60420,60600,60040,60140,1592400,VNM
2024-11-11,60140,60230,59230,59680,2737600,VNM
2024-11-12,59680,60140,59320,59410,1729600,VNM
2024-11-13,59580,60040,59230,59500,2770700,VNM
2024-11-14,59500,59500,59230,59500,1779900,VNM
2024-11-15,59410,59410,58310,58310,3688300,VNM
2024-11-18,58310,58760,57860,57860,3747000,VNM
2024-11-19,57940,58130,57660,57660,2733600,VNM
2024-11-20,57660,58400,57580,58220,2818000,VNM
2024-11-21,58310,58680,58040,58490,2253500,VNM
2024-11-22,58490,59320,58490,58860,2176700,VNM
2024-11-25,58860,59140,58760,58860,2446600,VNM
2024-11-26,59040,59500,58950,59320,1675600,VNM
2024-11-27,59320,59500,59040,59140,1586400,VNM
2024-11-28,59500,59500,59040,59040,1273300,VNM
2024-11-29,59040,59320,58860,59140,1105500,VNM
2024-12-02,59140,59320,58760,59040,1229100,VNM
2024-12-03,59140,59140,58490,58490,2425200,VNM
2024-12-04,58400,58490,57940,57940,2745800,VNM
2024-12-05,58130,59230,57860,58860,2218400,VNM
2024-12-06,59040,59320,58680,58680,1677900,VNM
2024-12-09,59040,59040,58580,58680,1762700,VNM
2024-12-10,58680,58950,58490,58490,1711000,VNM
2024-12-11,58490,59140,58490,58760,2024600,VNM
2024-12-12,58760,59410,58760,59140,2249800,VNM
2024-12-13,58860,59040,58680,58760,1396700,VNM
2024-12-16,58760,59680,58760,59500,2387600,VNM
2024-12-17,59410,59500,59040,59140,1204000,VNM
2024-12-18,59500,59580,59230,59230,1614100,VNM
2024-12-19,58950,59040,58490,58490,2626900,VNM
2024-12-20,58580,59500,58580,59500,3799600,VNM
2024-12-23,59230,59500,58860,58950,1347800,VNM
2024-12-24,58950,59230,58680,58860,1287000,VNM
2024-12-25,58950,59410,58950,58950,1302500,VNM
2024-12-26,59230,59230,58860,58860,1708800,VNM
2024-12-27,58950,59140,58760,58860,2443700,VNM
2024-12-30,58680,58760,58400,58400,1490800,VNM
2024-12-31,58490,58860,58400,58490,1641900,VNM
2025-01-02,58680,58860,58210,58210,1336600,VNM
2025-01-03,58300,58400,58030,58120,1776700,VNM
2025-01-06,58120,58300,57660,57660,2103500,VNM
2025-01-07,57750,58120,56820,56920,2802100,VNM
2025-01-08,57200,57290,56460,56920,2053300,VNM
2025-01-09,57020,57100,56550,57020,1500000,VNM
2025-01-10,56920,57100,56550,56550,1189800,VNM
2025-01-13,56460,57100,56370,56640,1101700,VNM
2025-01-14,56640,57020,56550,56820,1147600,VNM
2025-01-15,57290,57470,56920,56920,1216400,VNM
2025-01-16,57470,57750,56920,57100,1684500,VNM
2025-01-17,57380,57380,57200,57200,889400,VNM
2025-01-20,57200,57380,56820,57100,1633600,VNM
2025-01-21,57200,57290,56820,57020,1403900,VNM
2025-01-22,57200,57200,56820,56820,1760900,VNM
2025-01-23,56820,57470,56820,57200,1781300,VNM
2025-01-24,57100,57660,57020,57380,1576400,VNM
2025-02-03,57380,57380,55810,55810,7279900,VNM
2025-02-04,55910,56180,55350,55530,7125000,VNM
2025-02-05,55730,56740,55730,56740,3198100,VNM
2025-02-06,56740,56820,55810,55990,3024800,VNM
2025-02-07,55990,56460,55910,56090,2552300,VNM
2025-02-10,56460,56460,55910,55910,2592100,VNM
2025-02-11,55910,55990,55450,55730,3433800,VNM
2025-02-12,55910,56270,55810,56270,2756600,VNM
2025-02-13,56270,56270,55730,55990,2576800,VNM
2025-02-14,55990,55990,55630,55630,6401800,VNM
2025-02-17,55730,55910,55350,55350,3612400,VNM
2025-02-18,55730,55810,55350,55630,2436800,VNM
2025-02-19,55630,56180,55630,56090,3072700,VNM
2025-02-20,56180,56180,55910,55990,2627900,VNM
2025-02-21,56090,57290,55910,56640,4717200,VNM
2025-02-24,56820,58950,56820,58860,11512800,VNM
2025-02-25,59040,59040,57750,58030,3884200,VNM
2025-02-26,58120,58490,58030,58210,3636600,VNM
2025-02-27,58300,58300,57380,57380,3520600,VNM
2025-02-28,57470,58300,57380,57380,4175600,VNM
2025-03-03,57930,58300,57470,58300,3610600,VNM
2025-03-04,58300,58860,58030,58580,6042000,VNM
2025-03-05,58680,58680,57850,57850,2275500,VNM
2025-03-06,57850,58030,57380,58030,3125600,VNM
2025-03-07,58030,58120,57570,57850,2655600,VNM
2025-03-10,58120,58120,57660,57660,2529500,VNM
2025-03-11,57470,57660,57290,57570,2287600,VNM
2025-03-12,57660,57930,57380,57380,2755400,VNM
2025-03-13,57470,58030,57100,57200,5100400,VNM
2025-03-14,57570,57850,57290,57290,2696700,VNM
2025-03-17,57570,58490,57570,58120,4062100,VNM
2025-03-18,58210,58210,57660,57660,3281900,VNM
2025-03-19,57850,57930,57100,57470,3038400,VNM
2025-03-20,57380,57380,56550,57020,3888200,VNM
2025-03-21,57020,57020,56460,56550,3325900,VNM
2025-03-24,56640,57200,56370,56640,2488900,VNM
2025-03-25,56920,56920,56460,56640,2323000,VNM
2025-03-26,56740,57100,56460,56460,1846000,VNM
2025-03-27,56460,56740,56370,56370,2230500,VNM
2025-03-28,56270,56370,55530,55630,5430100,VNM
2025-03-31,56090,56820,55910,55910,5301500,VNM
2025-04-01,56460,56460,55630,56090,3129300,VNM
2025-04-02,55990,56640,55810,55810,4684400,VNM
2025-04-03,54890,54980,51940,52120,16938200,VNM
2025-04-04,49810,54250,49630,53970,9776600,VNM
2025-04-08,52310,52490,50280,50280,13324100,VNM
2025-04-09,47420,50920,47420,47970,9882600,VNM
2025-04-10,51290,51290,51290,51290,1514300,VNM
2025-04-11,51290,53870,51290,53040,9164400,VNM
2025-04-14,53410,53410,52120,52490,5479700,VNM
2025-04-15,52310,53040,51940,51940,4163500,VNM
2025-04-16,52030,52760,51670,51670,3735600,VNM
2025-04-17,51200,52210,50560,51670,7219000,VNM
2025-04-18,52310,52860,52210,52210,3037200,VNM
2025-04-21,52400,52680,52120,52310,3021400,VNM
2025-04-22,52210,52210,49730,51670,6955000,VNM
2025-04-23,52400,52860,52030,52030,3586000,VNM
2025-04-24,52120,52400,51850,51940,1956400,VNM
2025-04-25,52120,53790,52120,53790,8119700,VNM
2025-04-28,53790,53790,53040,53040,2664700,VNM
2025-04-29,53040,53410,52760,53140,2556000,VNM
2025-05-05,52580,52680,52490,52490,4238300,VNM
